x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,y-count
0,1,0,1,0,2,0,1,0,3,0,4,0,7,0,6,0
1,0,1,0,2,0,1,0,3,0,4,0,7,0,6,0,0
0,1,0,2,0,1,0,0,0,4,0,7,0,6,0,0,0
1,0,2,0,1,0,0,0,4,0,7,0,6,0,0,0,0
0,2,0,1,0,0,0,0,0,7,0,6,0,0,0,0,0
2,0,1,0,0,0,0,0,7,0,6,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1
0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,3,3
0,0,2,0,0,0,1,3,0,0,3,0,0,0,3,3,0
0,2,0,0,0,1,3,0,0,3,0,0,0,3,3,0,0
2,0,0,0,1,3,0,0,3,0,0,0,3,3,0,0,2
0,0,0,1,3,0,0,2,0,0,0,3,3,0,0,3,0
0,0,1,3,0,0,2,0,0,0,3,3,0,0,3,0,7
0,1,3,0,0,2,0,7,0,3,3,0,0,3,0,5,4
1,3,0,0,2,0,7,4,3,3,0,0,3,0,5,5,9
3,0,0,2,0,7,4,9,3,0,0,3,0,5,5,7,6
0,0,2,0,7,4,9,6,0,0,3,0,5,5,7,6,6
0,2,0,7,4,9,6,6,0,3,0,5,5,7,6,4,3
2,0,7,4,9,6,6,3,3,0,5,5,7,6,4,4,19
0,7,4,9,6,6,3,19,0,5,5,7,6,4,4,5,16
7,4,9,6,6,3,19,16,5,5,7,6,4,4,5,4,21
4,9,6,6,3,19,16,21,5,7,6,4,4,5,4,6,26
9,6,6,3,19,16,21,26,7,6,4,4,5,4,6,6,32
6,6,3,19,16,21,26,32,6,4,4,5,4,6,6,9,36
6,3,19,16,21,26,32,36,4,4,5,4,6,6,9,8,41
3,19,16,21,26,32,36,41,4,5,4,6,6,9,8,6,41
19,16,21,26,32,36,41,41,5,4,6,6,9,8,6,5,53
16,21,26,32,36,41,41,53,4,6,6,9,8,6,5,4,54
21,26,32,36,41,41,53,54,6,6,9,8,6,5,4,4,53
26,32,36,41,41,53,54,53,6,9,8,6,5,4,4,6,66
32,36,41,41,53,54,53,66,9,8,6,5,4,4,6,6,67
36,41,41,53,54,53,66,67,8,6,5,4,4,6,6,5,70
41,41,53,54,53,66,67,70,6,5,4,4,6,6,5,5,77
41,53,54,53,66,67,70,77,5,4,4,6,6,5,5,8,82
53,54,53,66,67,70,77,82,4,4,6,6,5,5,8,6,83
54,53,66,67,70,77,82,83,4,6,6,5,5,8,6,8,92
53,66,67,70,77,82,83,92,6,6,5,5,8,6,8,7,82
66,67,70,77,82,83,92,82,6,5,5,8,6,8,7,6,82
67,70,77,82,83,92,82,82,5,5,8,6,8,7,6,6,73
70,77,82,83,92,82,82,73,5,8,6,8,7,6,6,4,76
77,82,83,92,82,82,73,76,8,6,8,7,6,6,4,5,69
82,83,92,82,82,73,76,69,6,8,7,6,6,4,5,7,61
83,92,82,82,73,76,69,61,8,7,6,6,4,5,7,4,58
92,82,82,73,76,69,61,58,7,6,6,4,5,7,4,4,54
82,82,73,76,69,61,58,54,6,6,4,5,7,4,4,8,48
82,73,76,69,61,58,54,48,6,4,5,7,4,4,8,5,45
73,76,69,61,58,54,48,45,4,5,7,4,4,8,5,5,42
76,69,61,58,54,48,45,42,5,7,4,4,8,5,5,5,36
69,61,58,54,48,45,42,36,7,4,4,8,5,5,5,6,30
61,58,54,48,45,42,36,30,4,4,8,5,5,5,6,8,28
58,54,48,45,42,36,30,28,4,8,5,5,5,6,8,6,24
54,48,45,42,36,30,28,24,8,5,5,5,6,8,6,4,16
48,45,42,36,30,28,24,16,5,5,5,6,8,6,4,6,18
45,42,36,30,28,24,16,18,5,5,6,8,6,4,6,4,9
42,36,30,28,24,16,18,9,5,6,8,6,4,6,4,6,7
36,30,28,24,16,18,9,7,6,8,6,4,6,4,6,5,6
30,28,24,16,18,9,7,6,8,6,4,6,4,6,5,8,9
28,24,16,18,9,7,6,9,6,4,6,4,6,5,8,5,2
24,16,18,9,7,6,9,2,4,6,4,6,5,8,5,7,5
16,18,9,7,6,9,2,5,6,4,6,5,8,5,7,2,2
18,9,7,6,9,2,5,2,4,6,5,8,5,7,2,1,5
9,7,6,9,2,5,2,5,6,5,8,5,7,2,1,1,0
7,6,9,2,5,2,5,0,5,8,5,7,2,1,1,0,3
6,9,2,5,2,5,0,3,8,5,7,2,1,1,0,1,0
9,2,5,2,5,0,3,0,5,7,2,1,1,0,1,0,0
2,5,2,5,0,3,0,0,7,2,1,1,0,1,0,0,0
5,2,5,0,3,0,0,0,2,1,1,0,1,0,0,0,1
2,5,0,3,0,0,0,1,1,1,0,1,0,0,0,4,0
5,0,3,0,0,0,1,0,1,0,1,0,0,0,4,0,0
0,3,0,0,0,1,0,0,0,1,0,0,0,4,0,0,3
3,0,0,0,1,0,0,3,1,0,0,0,4,0,0,4,0
0,0,0,1,0,0,3,0,0,0,0,4,0,0,4,0,1
0,0,1,0,0,3,0,1,0,0,4,0,0,4,0,4,0
0,1,0,0,3,0,1,0,0,4,0,0,4,0,4,0,0
1,0,0,3,0,1,0,0,4,0,0,4,0,4,0,0,0
0,0,3,0,1,0,0,0,0,0,4,0,4,0,0,0,0
0,3,0,1,0,0,0,0,0,4,0,4,0,0,0,0,0
3,0,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1
0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,3,3
0,0,2,0,0,0,1,3,0,0,4,0,0,0,3,3,0
0,2,0,0,0,1,3,0,0,4,0,0,0,3,3,0,0
2,0,0,0,1,3,0,0,4,0,0,0,3,3,0,0,2
0,0,0,1,3,0,0,2,0,0,0,3,3,0,0,4,7
0,0,1,3,0,0,2,7,0,0,3,3,0,0,4,4,4
0,1,3,0,0,2,7,4,0,3,3,0,0,4,4,1,6
1,3,0,0,2,7,4,6,3,3,0,0,4,4,1,4,6
3,0,0,2,7,4,6,6,3,0,0,4,4,1,4,1,16
0,0,2,7,4,6,6,16,0,0,4,4,1,4,1,2,15
0,2,7,4,6,6,16,15,0,4,4,1,4,1,2,1,23
2,7,4,6,6,16,15,23,4,4,1,4,1,2,1,4,24
7,4,6,6,16,15,23,24,4,1,4,1,2,1,4,6,36
4,6,6,16,15,23,24,36,1,4,1,2,1,4,6,5,33
6,6,16,15,23,24,36,33,4,1,2,1,4,6,5,2,40
6,16,15,23,24,36,33,40,1,2,1,4,6,5,2,7,41
16,15,23,24,36,33,40,41,2,1,4,6,5,2,7,6,51
15,23,24,36,33,40,41,51,1,4,6,5,2,7,6,6,54
23,24,36,33,40,41,51,54,4,6,5,2,7,6,6,6,61
24,36,33,40,41,51,54,61,6,5,2,7,6,6,6,6,58
36,33,40,41,51,54,61,58,5,2,7,6,6,6,6,7,69
33,40,41,51,54,61,58,69,2,7,6,6,6,6,7,5,68
40,41,51,54,61,58,69,68,7,6,6,6,6,7,5,5,77
41,51,54,61,58,69,68,77,6,6,6,6,7,5,5,5,82
51,54,61,58,69,68,77,82,6,6,6,7,5,5,5,4,86
54,61,58,69,68,77,82,86,6,6,7,5,5,5,4,6,86
61,58,69,68,77,82,86,86,6,7,5,5,5,4,6,4,92
58,69,68,77,82,86,86,92,7,5,5,5,4,6,4,3,75
69,68,77,82,86,86,92,75,5,5,5,4,6,4,3,4,80
68,77,82,86,86,92,75,80,5,5,4,6,4,3,4,4,72
77,82,86,86,92,75,80,72,5,4,6,4,3,4,4,4,65
82,86,86,92,75,80,72,65,4,6,4,3,4,4,4,4,65
86,86,92,75,80,72,65,65,6,4,3,4,4,4,4,4,60
86,92,75,80,72,65,65,60,4,3,4,4,4,4,4,3,54
92,75,80,72,65,65,60,54,3,4,4,4,4,4,3,5,51
75,80,72,65,65,60,54,51,4,4,4,4,4,3,5,6,42
80,72,65,65,60,54,51,42,4,4,4,4,3,5,6,6,43
72,65,65,60,54,51,42,43,4,4,4,3,5,6,6,6,32
65,65,60,54,51,42,43,32,4,4,3,5,6,6,6,4,36
65,60,54,51,42,43,32,36,4,3,5,6,6,6,4,4,24
60,54,51,42,43,32,36,24,3,5,6,6,6,4,4,6,25
54,51,42,43,32,36,24,25,5,6,6,6,4,4,6,6,15
51,42,43,32,36,24,25,15,6,6,6,4,4,6,6,5,13
42,43,32,36,24,25,15,13,6,6,4,4,6,6,5,5,10
43,32,36,24,25,15,13,10,6,4,4,6,6,5,5,5,5
32,36,24,25,15,13,10,5,4,4,6,6,5,5,5,5,6
36,24,25,15,13,10,5,6,4,6,6,5,5,5,5,5,7
24,25,15,13,10,5,6,7,6,6,5,5,5,5,5,7,3
25,15,13,10,5,6,7,3,6,5,5,5,5,5,7,3,5
15,13,10,5,6,7,3,5,5,5,5,5,5,7,3,5,2
13,10,5,6,7,3,5,2,5,5,5,5,7,3,5,3,5
10,5,6,7,3,5,2,5,5,5,5,7,3,5,3,4,2
5,6,7,3,5,2,5,2,5,5,7,3,5,3,4,5,5
6,7,3,5,2,5,2,5,5,7,3,5,3,4,5,6,0
7,3,5,2,5,2,5,0,7,3,5,3,4,5,6,0,3
3,5,2,5,2,5,0,3,3,5,3,4,5,6,0,6,0
5,2,5,2,5,0,3,0,5,3,4,5,6,0,6,0,0
2,5,2,5,0,3,0,0,3,4,5,6,0,6,0,0,0
5,2,5,0,3,0,0,0,4,5,6,0,6,0,0,0,0
2,5,0,3,0,0,0,0,5,6,0,6,0,0,0,0,1
5,0,3,0,0,0,0,1,6,0,6,0,0,0,0,6,1
0,3,0,0,0,0,1,1,0,6,0,0,0,0,6,6,1
3,0,0,0,0,1,1,1,6,0,0,0,0,6,6,3,1
0,0,0,0,1,1,1,1,0,0,0,0,6,6,3,3,1
0,0,0,1,1,1,1,1,0,0,0,6,6,3,3,3,1
0,0,1,1,1,1,1,1,0,0,6,6,3,3,3,3,0
0,1,1,1,1,1,1,0,0,6,6,3,3,3,3,0,0
1,1,1,1,1,1,0,0,6,6,3,3,3,3,0,0,0
1,1,1,1,1,0,0,0,6,3,3,3,3,0,0,0,0
1,1,1,1,0,0,0,0,3,3,3,3,0,0,0,0,0
1,1,1,0,0,0,0,0,3,3,3,0,0,0,0,0,0
1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,3,0
0,0,0,0,0,1,1,0,0,0,0,0,0,6,3,0,0
0,0,0,0,1,1,0,0,0,0,0,0,6,3,0,0,1
0,0,0,1,1,0,0,1,0,0,0,6,3,0,0,6,2
0,0,1,1,0,0,1,2,0,0,6,3,0,0,6,6,1
0,1,1,0,0,1,2,1,0,6,3,0,0,6,6,6,0
1,1,0,0,1,2,1,0,6,3,0,0,6,6,6,0,1
1,0,0,1,2,1,0,1,3,0,0,6,6,6,0,5,7
0,0,1,2,1,0,1,7,0,0,6,6,6,0,5,5,5
0,1,2,1,0,1,7,5,0,6,6,6,0,5,5,5,6
1,2,1,0,1,7,5,6,6,6,6,0,5,5,5,5,7
2,1,0,1,7,5,6,7,6,6,0,5,5,5,5,6,15
1,0,1,7,5,6,7,15,6,0,5,5,5,5,6,6,14
0,1,7,5,6,7,15,14,0,5,5,5,5,6,6,7,24
1,7,5,6,7,15,14,24,5,5,5,5,6,6,7,5,24
7,5,6,7,15,14,24,24,5,5,5,6,6,7,5,5,32
5,6,7,15,14,24,24,32,5,5,6,6,7,5,5,6,33
6,7,15,14,24,24,32,33,5,6,6,7,5,5,6,6,41
7,15,14,24,24,32,33,41,6,6,7,5,5,6,6,7,48
15,14,24,24,32,33,41,48,6,7,5,5,6,6,7,6,51
14,24,24,32,33,41,48,51,7,5,5,6,6,7,6,7,49
24,24,32,33,41,48,51,49,5,5,6,6,7,6,7,5,54
24,32,33,41,48,51,49,54,5,6,6,7,6,7,5,5,57
32,33,41,48,51,49,54,57,6,6,7,6,7,5,5,5,61
33,41,48,51,49,54,57,61,6,7,6,7,5,5,5,3,61
41,48,51,49,54,57,61,61,7,6,7,5,5,5,3,4,71
48,51,49,54,57,61,61,71,6,7,5,5,5,3,4,5,69
51,49,54,57,61,61,71,69,7,5,5,5,3,4,5,5,82
49,54,57,61,61,71,69,82,5,5,5,3,4,5,5,5,80
54,57,61,61,71,69,82,80,5,5,3,4,5,5,5,5,73
57,61,61,71,69,82,80,73,5,3,4,5,5,5,5,5,75
61,61,71,69,82,80,73,75,3,4,5,5,5,5,5,4,72
61,71,69,82,80,73,75,72,4,5,5,5,5,5,4,4,65
71,69,82,80,73,75,72,65,5,5,5,5,5,4,4,4,54
69,82,80,73,75,72,65,54,5,5,5,5,4,4,4,4,46
82,80,73,75,72,65,54,46,5,5,5,4,4,4,4,5,57
80,73,75,72,65,54,46,57,5,5,4,4,4,4,5,5,50
73,75,72,65,54,46,57,50,5,4,4,4,4,5,5,5,47
75,72,65,54,46,57,50,47,4,4,4,4,5,5,5,4,38
72,65,54,46,57,50,47,38,4,4,4,5,5,5,4,3,43
65,54,46,57,50,47,38,43,4,4,5,5,5,4,3,3,34
54,46,57,50,47,38,43,34,4,5,5,5,4,3,3,2,34
46,57,50,47,38,43,34,34,5,5,5,4,3,3,2,2,24
57,50,47,38,43,34,34,24,5,5,4,3,3,2,2,4,22
50,47,38,43,34,34,24,22,5,4,3,3,2,2,4,2,18
47,38,43,34,34,24,22,18,4,3,3,2,2,4,2,2,15
38,43,34,34,24,22,18,15,3,3,2,2,4,2,2,2,9
43,34,34,24,22,18,15,9,3,2,2,4,2,2,2,2,6
34,34,24,22,18,15,9,6,2,2,4,2,2,2,2,2,5
34,24,22,18,15,9,6,5,2,4,2,2,2,2,2,2,8
24,22,18,15,9,6,5,8,4,2,2,2,2,2,2,2,2
22,18,15,9,6,5,8,2,2,2,2,2,2,2,2,2,5
18,15,9,6,5,8,2,5,2,2,2,2,2,2,2,2,2
15,9,6,5,8,2,5,2,2,2,2,2,2,2,2,2,5
9,6,5,8,2,5,2,5,2,2,2,2,2,2,2,2,1
6,5,8,2,5,2,5,1,2,2,2,2,2,2,2,2,6
5,8,2,5,2,5,1,6,2,2,2,2,2,2,2,2,0
8,2,5,2,5,1,6,0,2,2,2,2,2,2,2,0,2
2,5,2,5,1,6,0,2,2,2,2,2,2,2,0,2,1
5,2,5,1,6,0,2,1,2,2,2,2,2,0,2,2,0
2,5,1,6,0,2,1,0,2,2,2,2,0,2,2,0,0
5,1,6,0,2,1,0,0,2,2,2,0,2,2,0,0,1
1,6,0,2,1,0,0,1,2,2,0,2,2,0,0,2,0
6,0,2,1,0,0,1,0,2,0,2,2,0,0,2,0,0
0,2,1,0,0,1,0,0,0,2,2,0,0,2,0,0,2
2,1,0,0,1,0,0,2,2,2,0,0,2,0,0,2,2
1,0,0,1,0,0,2,2,2,0,0,2,0,0,2,2,0
0,0,1,0,0,2,2,0,0,0,2,0,0,2,2,0,1
0,1,0,0,2,2,0,1,0,2,0,0,2,2,0,2,0
1,0,0,2,2,0,1,0,2,0,0,2,2,0,2,0,0
0,0,2,2,0,1,0,0,0,0,2,2,0,2,0,0,0
0,2,2,0,1,0,0,0,0,2,2,0,2,0,0,0,0
2,2,0,1,0,0,0,0,2,2,0,2,0,0,0,0,0
2,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0
0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0
0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1
0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,2,3
0,0,1,1,0,0,1,3,0,0,2,2,0,0,2,2,0
0,1,1,0,0,1,3,0,0,2,2,0,0,2,2,0,0
1,1,0,0,1,3,0,0,2,2,0,0,2,2,0,0,2
1,0,0,1,3,0,0,2,2,0,0,2,2,0,0,2,7
0,0,1,3,0,0,2,7,0,0,2,2,0,0,2,2,4
0,1,3,0,0,2,7,4,0,2,2,0,0,2,2,2,6
1,3,0,0,2,7,4,6,2,2,0,0,2,2,2,2,7
