x-count,x-count,x-notional,x-notional,y-count
69,82,5,5,80
82,80,5,5,73
80,73,5,5,75
73,75,5,4,72
75,72,4,4,65
72,65,4,4,54
65,54,4,4,46
54,46,4,5,57
46,57,5,5,50
57,50,5,5,47
50,47,5,4,38
47,38,4,3,43
38,43,3,3,34
43,34,3,2,34
34,34,2,2,24
34,24,2,4,22
24,22,4,2,18
22,18,2,2,15
18,15,2,2,9
15,9,2,2,6
9,6,2,2,5
6,5,2,2,8
5,8,2,2,2
8,2,2,2,5
2,5,2,2,2
5,2,2,2,5
2,5,2,2,1
5,1,2,2,6
1,6,2,2,0
6,0,2,0,2
0,2,0,2,1
2,1,2,2,0
1,0,2,0,0
0,0,0,0,1
0,1,0,2,0
1,0,2,0,0
0,0,0,0,2
0,2,0,2,2
2,2,2,2,0
2,0,2,0,1
0,1,0,2,0
1,0,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,2,0
1,0,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,2,1
1,1,2,2,0
1,0,2,0,0
0,0,0,0,1
0,1,0,2,3
1,3,2,2,0
3,0,2,0,0
0,0,0,0,2
0,2,0,2,7
2,7,2,2,4
7,4,2,2,6
4,6,2,2,7
6,7,2,2,7
7,7,2,2,5
7,5,2,2,5
5,5,2,2,10
5,10,2,2,17
10,17,2,4,18
17,18,4,2,28
18,28,2,2,32
28,32,2,3,38
32,38,3,5,37
38,37,5,4,53
37,53,4,4,53
53,53,4,5,62
53,62,5,6,58
62,58,6,5,68
58,68,5,5,63
68,63,5,6,78
63,78,6,5,69
78,69,5,8,83
69,83,8,7,87
83,87,7,4,86
87,86,4,6,93
86,93,6,5,95
93,95,5,5,87
95,87,5,5,87
87,87,5,4,73
87,73,4,3,60
73,60,3,4,69
60,69,4,4,58
69,58,4,3,57
58,57,3,6,52
57,52,6,6,33
52,33,6,6,28
33,28,6,6,19
28,19,6,6,18
19,18,6,4,10
18,10,4,3,4
10,4,3,6,6
4,6,6,5,9
6,9,5,4,2
9,2,4,4,5
2,5,4,3,2
5,2,3,3,5
2,5,3,4,2
5,2,4,3,4
2,4,3,4,1
4,1,4,3,3
1,3,3,5,0
3,0,5,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,3,0
1,0,3,0,1
0,1,0,3,1
1,1,3,4,2
1,2,4,4,0
2,0,4,0,0
0,0,0,0,1
0,1,0,3,0
1,0,3,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,4,0
1,0,4,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,2,0,4,0
2,0,4,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,3,3
1,3,3,4,0
3,0,4,0,0
0,0,0,0,2
0,2,0,3,6
2,6,3,4,5
6,5,4,4,5
5,5,4,4,8
5,8,4,8,7
8,7,8,4,4
7,4,4,5,6
4,6,5,6,5
6,5,6,6,5
5,5,6,4,6
5,6,4,4,13
6,13,4,4,15
13,15,4,4,20
15,20,4,4,24
20,24,4,3,29
24,29,3,4,33
29,33,4,5,35
33,35,5,7,40
35,40,7,7,47
40,47,7,5,42
47,42,5,5,51
42,51,5,4,50
51,50,4,5,54
50,54,5,6,59
54,59,6,6,58
59,58,6,4,65
58,65,4,8,63
65,63,8,8,77
63,77,8,5,64
77,64,5,5,73
64,73,5,5,62
73,62,5,5,53
62,53,5,4,53
53,53,4,4,43
53,43,4,4,43
43,43,4,4,46
43,46,4,6,36
46,36,6,4,22
36,22,4,4,17
22,17,4,4,5
17,5,4,1,6
5,6,1,1,4
6,4,1,1,8
4,8,1,1,2
8,2,1,1,5
2,5,1,1,2
5,2,1,1,5
2,5,1,1,2
5,2,1,1,4
2,4,1,1,1
4,1,1,1,3
1,3,1,1,0
3,0,1,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,1,0
1,0,1,0,1
0,1,0,1,1
1,1,1,1,2
1,2,1,1,0
2,0,1,0,1
0,1,0,1,0
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,1,0
1,0,1,0,0
0,0,0,0,1
0,1,0,1,1
1,1,1,1,1
1,1,1,1,0
1,0,1,0,4
0,4,0,1,0
4,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,2,0,1,0
2,0,1,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,1,3
1,3,1,1,0
3,0,1,0,0
0,0,0,0,2
0,2,0,1,0
2,0,1,0,0
0,0,0,0,1
0,1,0,1,2
1,2,1,1,1
2,1,1,1,3
1,3,1,1,5
3,5,1,1,2
5,2,1,1,5
2,5,1,1,3
5,3,1,1,11
3,11,1,1,10
11,10,1,1,15
10,15,1,1,15
15,15,1,6,22
15,22,6,1,19
22,19,1,1,29
19,29,1,6,28
29,28,6,10,30
28,30,10,6,36
30,36,6,6,32
36,32,6,4,54
32,54,4,5,46
54,46,5,5,61
46,61,5,6,50
61,50,6,4,56
50,56,4,7,49
56,49,7,7,46
49,46,7,5,43
46,43,5,5,41
43,41,5,8,40
41,40,8,5,40
40,40,5,5,35
40,35,5,6,34
35,34,6,5,26
34,26,5,5,28
26,28,5,5,28
28,28,5,5,19
28,19,5,4,13
19,13,4,4,6
13,6,4,4,6
6,6,4,5,4
6,4,5,4,3
4,3,4,4,2
3,2,4,6,4
2,4,6,6,2
4,2,6,5,2
2,2,5,4,0
2,0,4,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,2,0,6,0
2,0,6,0,1
0,1,0,4,1
1,1,4,4,2
1,2,4,2,0
2,0,2,0,1
0,1,0,6,0
1,0,6,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,1,0
1,0,1,0,0
0,0,0,0,1
0,1,0,1,1
1,1,1,1,1
1,1,1,1,0
1,0,1,0,3
0,3,0,6,1
3,1,6,1,0
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,2,0,1,0
2,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,4
0,4,0,5,0
4,0,5,0,0
0,0,0,0,2
0,2,0,2,0
2,0,2,0,0
0,0,0,0,0
0,0,0,0,3
0,3,0,4,1
3,1,4,2,2
1,2,2,4,7
2,7,4,4,7
7,7,4,4,15
7,15,4,4,13
15,13,4,4,23
13,23,4,6,27
23,27,6,7,33
27,33,7,6,33
33,33,6,4,38
33,38,4,3,47
38,47,3,5,49
47,49,5,4,50
49,50,4,7,62
50,62,7,5,65
62,65,5,7,67
65,67,7,5,68
67,68,5,6,75
68,75,6,7,84
75,84,7,6,83
84,83,6,4,87
83,87,4,5,86
87,86,5,6,80
86,80,6,4,78
80,78,4,6,79
78,79,6,4,72
79,72,4,7,64
72,64,7,6,56
64,56,6,6,52
56,52,6,5,53
52,53,5,4,39
53,39,4,5,43
39,43,5,6,38
43,38,6,6,29
38,29,6,6,27
29,27,6,4,26
27,26,4,7,14
26,14,7,6,17
14,17,6,6,10
17,10,6,6,8
10,8,6,4,6
8,6,4,4,9
6,9,4,4,2
9,2,4,3,4
2,4,3,4,3
4,3,4,4,4
3,4,4,5,1
4,1,5,5,3
1,3,5,5,0
3,0,5,0,1
0,1,0,3,0
1,0,3,0,1
0,1,0,3,1
1,1,3,4,2
1,2,4,3,0
2,0,3,0,0
0,0,0,0,1
0,1,0,4,0
1,0,4,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,4,0
1,0,4,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,3,2
1,2,3,3,1
2,1,3,4,1
1,1,4,3,3
1,3,3,3,0
3,0,3,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,2,0,3,0
2,0,3,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,3,3
1,3,3,4,0
3,0,4,0,0
0,0,0,0,2
0,2,0,4,0
2,0,4,0,0
0,0,0,0,2
0,2,0,3,2
2,2,3,5,2
2,2,5,5,3
2,3,5,7,5
3,5,7,4,6
5,6,4,4,11
6,11,4,4,13
11,13,4,4,16
13,16,4,4,21
16,21,4,6,25
21,25,6,4,27
25,27,4,5,29
27,29,5,6,34
29,34,6,5,40
34,40,5,6,37
40,37,6,6,48
37,48,6,6,47
48,47,6,7,52
47,52,7,4,46
52,46,4,4,66
46,66,4,6,62
66,62,6,5,62
62,62,5,6,60
62,60,6,5,71
60,71,5,5,63
71,63,5,5,59
63,59,5,4,62
59,62,4,4,48
62,48,4,4,50
48,50,4,4,45
50,45,4,5,39
45,39,5,4,38
39,38,4,6,31
38,31,6,7,33
31,33,7,7,30
33,30,7,6,25
30,25,6,6,20
25,20,6,6,16
20,16,6,7,15
16,15,7,4,8
15,8,4,7,8
8,8,7,7,6
8,6,7,8,5
6,5,8,3,8
5,8,3,4,2
8,2,4,1,5
2,5,1,2,3
5,3,2,3,3
3,3,3,3,2
3,2,3,3,3
2,3,3,3,0
3,0,3,0,1
0,1,0,3,0
1,0,3,0,1
0,1,0,3,1
1,1,3,3,2
1,2,3,8,0
2,0,8,0,1
0,1,0,8,0
1,0,8,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,4,0
1,0,4,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,2,0,3,0
2,0,3,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,3,2
1,2,3,3,1
2,1,3,3,0
1,0,3,0,2
0,2,0,3,3
2,3,3,3,3
3,3,3,3,4
3,4,3,5,7
4,7,5,6,8
7,8,6,5,16
8,16,5,6,14
16,14,6,5,28
14,28,5,6,25
28,25,6,6,38
25,38,6,4,37
38,37,4,4,44
37,44,4,5,42
44,42,5,6,59
42,59,6,6,49
59,49,6,6,69
49,69,6,6,61
69,61,6,6,71
61,71,6,4,78
71,78,4,4,84
78,84,4,4,84
84,84,4,5,89
84,89,5,5,92
89,92,5,4,94
92,94,4,2,84
94,84,2,2,87
84,87,2,1,77
87,77,1,4,82
77,82,4,4,66
82,66,4,2,63
66,63,2,4,53
63,53,4,5,58
53,58,5,6,44
58,44,6,6,44
44,44,6,7,40
44,40,7,6,32
40,32,6,8,31
32,31,8,6,23
31,23,6,6,19
23,19,6,5,15
19,15,5,4,8
15,8,4,7,8
8,8,7,5,6
8,6,5,3,10
6,10,3,7,10
10,10,7,7,7
10,7,7,3,7
7,7,3,6,4
7,4,6,6,5
4,5,6,6,2
5,2,6,6,5
2,5,6,1,0
5,0,1,0,2
0,2,0,1,1
2,1,1,1,1
1,1,1,1,0
1,0,1,0,1
0,1,0,9,1
1,1,9,9,2
1,2,9,9,0
2,0,9,0,1
0,1,0,9,0
1,0,9,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,9,0
1,0,9,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,2,0,6,0
2,0,6,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,8,2
1,2,8,8,0
2,0,8,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,2,2
1,2,2,6,0
2,0,6,0,0
0,0,0,0,1
0,1,0,6,2
1,2,6,6,1
2,1,6,5,3
1,3,5,4,5
3,5,4,4,5
5,5,4,4,9
5,9,4,5,14
9,14,5,4,14
14,14,4,5,20
14,20,5,6,21
20,21,6,4,24
21,24,4,6,28
24,28,6,8,32
28,32,8,5,33
32,33,5,4,37
33,37,4,4,38
37,38,4,4,45
38,45,4,4,49
45,49,4,4,48
49,48,4,4,51
48,51,4,3,57
51,57,3,4,59
57,59,4,3,61
59,61,3,3,59
61,59,3,3,53
59,53,3,4,57
53,57,4,4,51
57,51,4,5,49
51,49,5,6,47
49,47,6,6,39
47,39,6,4,37
39,37,4,4,36
37,36,4,4,31
36,31,4,2,27
31,27,2,3,26
27,26,3,2,21
26,21,2,2,20
21,20,2,2,16
20,16,2,2,11
16,11,2,2,9
11,9,2,2,3
9,3,2,2,1
3,1,2,2,1
1,1,2,2,1
1,1,2,2,0
1,0,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,6,0
1,0,6,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,2,0
1,0,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,2,0
1,0,2,0,1
0,1,0,2,0
1,0,2,0,0
0,0,0,0,2
0,2,0,2,0
2,0,2,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,2,2
1,2,2,2,0
2,0,2,0,3
0,3,0,2,0
3,0,2,0,1
0,1,0,2,0
1,0,2,0,0
0,0,0,0,0
0,0,0,0,7
0,7,0,2,7
7,7,2,4,13
7,13,4,2,13
13,13,2,2,23
13,23,2,4,23
23,23,4,2,29
23,29,2,4,28
29,28,4,3,37
28,37,3,2,43
37,43,2,4,43
43,43,4,6,50
43,50,6,3,52
50,52,3,2,54
52,54,2,4,61
54,61,4,4,64
61,64,4,6,68
64,68,6,4,74
68,74,4,6,78
74,78,6,4,75
78,75,4,4,76
75,76,4,5,76
76,76,5,4,71
76,71,4,7,70
71,70,7,5,60
70,60,5,5,57
60,57,5,4,50
57,50,4,4,51
50,51,4,4,47
51,47,4,4,41
47,41,4,3,35
41,35,3,6,30
35,30,6,5,32
30,32,5,4,24
32,24,4,4,22
24,22,4,4,12
22,12,4,7,12
12,12,7,6,6
12,6,6,5,1
6,1,5,2,1
1,1,2,2,0
1,0,2,0,5
0,5,0,4,0
5,0,4,0,1
0,1,0,5,1
1,1,5,4,0
1,0,4,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,2,0,9,0
2,0,9,0,0
