x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,y-count
3,0,0,2,6,5,8,7,7,8,17,16,27,26,37,39,2,0,0,2,5,3,3,4,7,5,4,4,6,6,6,5,49
0,0,2,6,5,8,7,7,8,17,16,27,26,37,39,49,0,0,2,5,3,3,4,7,5,4,4,6,6,6,5,6,44
0,2,6,5,8,7,7,8,17,16,27,26,37,39,49,44,0,2,5,3,3,4,7,5,4,4,6,6,6,5,6,5,57
2,6,5,8,7,7,8,17,16,27,26,37,39,49,44,57,2,5,3,3,4,7,5,4,4,6,6,6,5,6,5,6,61
6,5,8,7,7,8,17,16,27,26,37,39,49,44,57,61,5,3,3,4,7,5,4,4,6,6,6,5,6,5,6,6,66
5,8,7,7,8,17,16,27,26,37,39,49,44,57,61,66,3,3,4,7,5,4,4,6,6,6,5,6,5,6,6,6,66
8,7,7,8,17,16,27,26,37,39,49,44,57,61,66,66,3,4,7,5,4,4,6,6,6,5,6,5,6,6,6,6,78
7,7,8,17,16,27,26,37,39,49,44,57,61,66,66,78,4,7,5,4,4,6,6,6,5,6,5,6,6,6,6,7,75
7,8,17,16,27,26,37,39,49,44,57,61,66,66,78,75,7,5,4,4,6,6,6,5,6,5,6,6,6,6,7,4,90
8,17,16,27,26,37,39,49,44,57,61,66,66,78,75,90,5,4,4,6,6,6,5,6,5,6,6,6,6,7,4,4,84
17,16,27,26,37,39,49,44,57,61,66,66,78,75,90,84,4,4,6,6,6,5,6,5,6,6,6,6,7,4,4,5,101
16,27,26,37,39,49,44,57,61,66,66,78,75,90,84,101,4,6,6,6,5,6,5,6,6,6,6,7,4,4,5,4,97
27,26,37,39,49,44,57,61,66,66,78,75,90,84,101,97,6,6,6,5,6,5,6,6,6,6,7,4,4,5,4,5,94
26,37,39,49,44,57,61,66,66,78,75,90,84,101,97,94,6,6,5,6,5,6,6,6,6,7,4,4,5,4,5,6,92
37,39,49,44,57,61,66,66,78,75,90,84,101,97,94,92,6,5,6,5,6,6,6,6,7,4,4,5,4,5,6,7,80
39,49,44,57,61,66,66,78,75,90,84,101,97,94,92,80,5,6,5,6,6,6,6,7,4,4,5,4,5,6,7,7,82
49,44,57,61,66,66,78,75,90,84,101,97,94,92,80,82,6,5,6,6,6,6,7,4,4,5,4,5,6,7,7,6,83
44,57,61,66,66,78,75,90,84,101,97,94,92,80,82,83,5,6,6,6,6,7,4,4,5,4,5,6,7,7,6,7,61
57,61,66,66,78,75,90,84,101,97,94,92,80,82,83,61,6,6,6,6,7,4,4,5,4,5,6,7,7,6,7,6,69
61,66,66,78,75,90,84,101,97,94,92,80,82,83,61,69,6,6,6,7,4,4,5,4,5,6,7,7,6,7,6,5,58
66,66,78,75,90,84,101,97,94,92,80,82,83,61,69,58,6,6,7,4,4,5,4,5,6,7,7,6,7,6,5,7,58
66,78,75,90,84,101,97,94,92,80,82,83,61,69,58,58,6,7,4,4,5,4,5,6,7,7,6,7,6,5,7,5,50
78,75,90,84,101,97,94,92,80,82,83,61,69,58,58,50,7,4,4,5,4,5,6,7,7,6,7,6,5,7,5,4,48
75,90,84,101,97,94,92,80,82,83,61,69,58,58,50,48,4,4,5,4,5,6,7,7,6,7,6,5,7,5,4,5,37
90,84,101,97,94,92,80,82,83,61,69,58,58,50,48,37,4,5,4,5,6,7,7,6,7,6,5,7,5,4,5,6,39
84,101,97,94,92,80,82,83,61,69,58,58,50,48,37,39,5,4,5,6,7,7,6,7,6,5,7,5,4,5,6,7,26
101,97,94,92,80,82,83,61,69,58,58,50,48,37,39,26,4,5,6,7,7,6,7,6,5,7,5,4,5,6,7,4,28
97,94,92,80,82,83,61,69,58,58,50,48,37,39,26,28,5,6,7,7,6,7,6,5,7,5,4,5,6,7,4,4,19
94,92,80,82,83,61,69,58,58,50,48,37,39,26,28,19,6,7,7,6,7,6,5,7,5,4,5,6,7,4,4,4,18
92,80,82,83,61,69,58,58,50,48,37,39,26,28,19,18,7,7,6,7,6,5,7,5,4,5,6,7,4,4,4,5,8
80,82,83,61,69,58,58,50,48,37,39,26,28,19,18,8,7,6,7,6,5,7,5,4,5,6,7,4,4,4,5,6,7
82,83,61,69,58,58,50,48,37,39,26,28,19,18,8,7,6,7,6,5,7,5,4,5,6,7,4,4,4,5,6,6,5
83,61,69,58,58,50,48,37,39,26,28,19,18,8,7,5,7,6,5,7,5,4,5,6,7,4,4,4,5,6,6,6,9
61,69,58,58,50,48,37,39,26,28,19,18,8,7,5,9,6,5,7,5,4,5,6,7,4,4,4,5,6,6,6,7,2
69,58,58,50,48,37,39,26,28,19,18,8,7,5,9,2,5,7,5,4,5,6,7,4,4,4,5,6,6,6,7,7,6
58,58,50,48,37,39,26,28,19,18,8,7,5,9,2,6,7,5,4,5,6,7,4,4,4,5,6,6,6,7,7,6,2
58,50,48,37,39,26,28,19,18,8,7,5,9,2,6,2,5,4,5,6,7,4,4,4,5,6,6,6,7,7,6,4,5
50,48,37,39,26,28,19,18,8,7,5,9,2,6,2,5,4,5,6,7,4,4,4,5,6,6,6,7,7,6,4,4,0
48,37,39,26,28,19,18,8,7,5,9,2,6,2,5,0,5,6,7,4,4,4,5,6,6,6,7,7,6,4,4,0,3
37,39,26,28,19,18,8,7,5,9,2,6,2,5,0,3,6,7,4,4,4,5,6,6,6,7,7,6,4,4,0,4,0
39,26,28,19,18,8,7,5,9,2,6,2,5,0,3,0,7,4,4,4,5,6,6,6,7,7,6,4,4,0,4,0,0
26,28,19,18,8,7,5,9,2,6,2,5,0,3,0,0,4,4,4,5,6,6,6,7,7,6,4,4,0,4,0,0,0
28,19,18,8,7,5,9,2,6,2,5,0,3,0,0,0,4,4,5,6,6,6,7,7,6,4,4,0,4,0,0,0,1
19,18,8,7,5,9,2,6,2,5,0,3,0,0,0,1,4,5,6,6,6,7,7,6,4,4,0,4,0,0,0,3,0
18,8,7,5,9,2,6,2,5,0,3,0,0,0,1,0,5,6,6,6,7,7,6,4,4,0,4,0,0,0,3,0,1
8,7,5,9,2,6,2,5,0,3,0,0,0,1,0,1,6,6,6,7,7,6,4,4,0,4,0,0,0,3,0,4,0
7,5,9,2,6,2,5,0,3,0,0,0,1,0,1,0,6,6,7,7,6,4,4,0,4,0,0,0,3,0,4,0,2
5,9,2,6,2,5,0,3,0,0,0,1,0,1,0,2,6,7,7,6,4,4,0,4,0,0,0,3,0,4,0,7,0
9,2,6,2,5,0,3,0,0,0,1,0,1,0,2,0,7,7,6,4,4,0,4,0,0,0,3,0,4,0,7,0,1
2,6,2,5,0,3,0,0,0,1,0,1,0,2,0,1,7,6,4,4,0,4,0,0,0,3,0,4,0,7,0,6,0
6,2,5,0,3,0,0,0,1,0,1,0,2,0,1,0,6,4,4,0,4,0,0,0,3,0,4,0,7,0,6,0,0
2,5,0,3,0,0,0,1,0,1,0,2,0,1,0,0,4,4,0,4,0,0,0,3,0,4,0,7,0,6,0,0,0
5,0,3,0,0,0,1,0,1,0,2,0,1,0,0,0,4,0,4,0,0,0,3,0,4,0,7,0,6,0,0,0,0
0,3,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,4,0,0,0,3,0,4,0,7,0,6,0,0,0,0,0
3,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,4,0,0,0,3,0,4,0,7,0,6,0,0,0,0,0,0
0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,6,0,0,0,0,0,0,0
0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,6,0,0,0,0,0,0,0,0
0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,6,0,0,0,0,0,0,0,0,0
1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,6,0,0,0,0,0,0,0,0,0,0
0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0
0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,2
0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0
0,0,0,0,0,0,2,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,7
0,0,0,0,0,2,0,0,0,1,3,0,0,2,0,7,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,5,4
0,0,0,0,2,0,0,0,1,3,0,0,2,0,7,4,0,0,0,0,3,0,0,0,3,3,0,0,3,0,5,5,9
0,0,0,2,0,0,0,1,3,0,0,2,0,7,4,9,0,0,0,3,0,0,0,3,3,0,0,3,0,5,5,7,6
0,0,2,0,0,0,1,3,0,0,2,0,7,4,9,6,0,0,3,0,0,0,3,3,0,0,3,0,5,5,7,6,6
0,2,0,0,0,1,3,0,0,2,0,7,4,9,6,6,0,3,0,0,0,3,3,0,0,3,0,5,5,7,6,4,3
2,0,0,0,1,3,0,0,2,0,7,4,9,6,6,3,3,0,0,0,3,3,0,0,3,0,5,5,7,6,4,4,19
0,0,0,1,3,0,0,2,0,7,4,9,6,6,3,19,0,0,0,3,3,0,0,3,0,5,5,7,6,4,4,5,16
0,0,1,3,0,0,2,0,7,4,9,6,6,3,19,16,0,0,3,3,0,0,3,0,5,5,7,6,4,4,5,4,21
0,1,3,0,0,2,0,7,4,9,6,6,3,19,16,21,0,3,3,0,0,3,0,5,5,7,6,4,4,5,4,6,26
1,3,0,0,2,0,7,4,9,6,6,3,19,16,21,26,3,3,0,0,3,0,5,5,7,6,4,4,5,4,6,6,32
3,0,0,2,0,7,4,9,6,6,3,19,16,21,26,32,3,0,0,3,0,5,5,7,6,4,4,5,4,6,6,9,36
0,0,2,0,7,4,9,6,6,3,19,16,21,26,32,36,0,0,3,0,5,5,7,6,4,4,5,4,6,6,9,8,41
0,2,0,7,4,9,6,6,3,19,16,21,26,32,36,41,0,3,0,5,5,7,6,4,4,5,4,6,6,9,8,6,41
2,0,7,4,9,6,6,3,19,16,21,26,32,36,41,41,3,0,5,5,7,6,4,4,5,4,6,6,9,8,6,5,53
0,7,4,9,6,6,3,19,16,21,26,32,36,41,41,53,0,5,5,7,6,4,4,5,4,6,6,9,8,6,5,4,54
7,4,9,6,6,3,19,16,21,26,32,36,41,41,53,54,5,5,7,6,4,4,5,4,6,6,9,8,6,5,4,4,53
4,9,6,6,3,19,16,21,26,32,36,41,41,53,54,53,5,7,6,4,4,5,4,6,6,9,8,6,5,4,4,6,66
9,6,6,3,19,16,21,26,32,36,41,41,53,54,53,66,7,6,4,4,5,4,6,6,9,8,6,5,4,4,6,6,67
6,6,3,19,16,21,26,32,36,41,41,53,54,53,66,67,6,4,4,5,4,6,6,9,8,6,5,4,4,6,6,5,70
6,3,19,16,21,26,32,36,41,41,53,54,53,66,67,70,4,4,5,4,6,6,9,8,6,5,4,4,6,6,5,5,77
3,19,16,21,26,32,36,41,41,53,54,53,66,67,70,77,4,5,4,6,6,9,8,6,5,4,4,6,6,5,5,8,82
19,16,21,26,32,36,41,41,53,54,53,66,67,70,77,82,5,4,6,6,9,8,6,5,4,4,6,6,5,5,8,6,83
16,21,26,32,36,41,41,53,54,53,66,67,70,77,82,83,4,6,6,9,8,6,5,4,4,6,6,5,5,8,6,8,92
21,26,32,36,41,41,53,54,53,66,67,70,77,82,83,92,6,6,9,8,6,5,4,4,6,6,5,5,8,6,8,7,82
26,32,36,41,41,53,54,53,66,67,70,77,82,83,92,82,6,9,8,6,5,4,4,6,6,5,5,8,6,8,7,6,82
32,36,41,41,53,54,53,66,67,70,77,82,83,92,82,82,9,8,6,5,4,4,6,6,5,5,8,6,8,7,6,6,73
36,41,41,53,54,53,66,67,70,77,82,83,92,82,82,73,8,6,5,4,4,6,6,5,5,8,6,8,7,6,6,4,76
41,41,53,54,53,66,67,70,77,82,83,92,82,82,73,76,6,5,4,4,6,6,5,5,8,6,8,7,6,6,4,5,69
41,53,54,53,66,67,70,77,82,83,92,82,82,73,76,69,5,4,4,6,6,5,5,8,6,8,7,6,6,4,5,7,61
53,54,53,66,67,70,77,82,83,92,82,82,73,76,69,61,4,4,6,6,5,5,8,6,8,7,6,6,4,5,7,4,58
54,53,66,67,70,77,82,83,92,82,82,73,76,69,61,58,4,6,6,5,5,8,6,8,7,6,6,4,5,7,4,4,54
53,66,67,70,77,82,83,92,82,82,73,76,69,61,58,54,6,6,5,5,8,6,8,7,6,6,4,5,7,4,4,8,48
66,67,70,77,82,83,92,82,82,73,76,69,61,58,54,48,6,5,5,8,6,8,7,6,6,4,5,7,4,4,8,5,45
67,70,77,82,83,92,82,82,73,76,69,61,58,54,48,45,5,5,8,6,8,7,6,6,4,5,7,4,4,8,5,5,42
70,77,82,83,92,82,82,73,76,69,61,58,54,48,45,42,5,8,6,8,7,6,6,4,5,7,4,4,8,5,5,5,36
77,82,83,92,82,82,73,76,69,61,58,54,48,45,42,36,8,6,8,7,6,6,4,5,7,4,4,8,5,5,5,6,30
82,83,92,82,82,73,76,69,61,58,54,48,45,42,36,30,6,8,7,6,6,4,5,7,4,4,8,5,5,5,6,8,28
83,92,82,82,73,76,69,61,58,54,48,45,42,36,30,28,8,7,6,6,4,5,7,4,4,8,5,5,5,6,8,6,24
92,82,82,73,76,69,61,58,54,48,45,42,36,30,28,24,7,6,6,4,5,7,4,4,8,5,5,5,6,8,6,4,16
82,82,73,76,69,61,58,54,48,45,42,36,30,28,24,16,6,6,4,5,7,4,4,8,5,5,5,6,8,6,4,6,18
82,73,76,69,61,58,54,48,45,42,36,30,28,24,16,18,6,4,5,7,4,4,8,5,5,5,6,8,6,4,6,4,9
73,76,69,61,58,54,48,45,42,36,30,28,24,16,18,9,4,5,7,4,4,8,5,5,5,6,8,6,4,6,4,6,7
76,69,61,58,54,48,45,42,36,30,28,24,16,18,9,7,5,7,4,4,8,5,5,5,6,8,6,4,6,4,6,5,6
69,61,58,54,48,45,42,36,30,28,24,16,18,9,7,6,7,4,4,8,5,5,5,6,8,6,4,6,4,6,5,8,9
61,58,54,48,45,42,36,30,28,24,16,18,9,7,6,9,4,4,8,5,5,5,6,8,6,4,6,4,6,5,8,5,2
58,54,48,45,42,36,30,28,24,16,18,9,7,6,9,2,4,8,5,5,5,6,8,6,4,6,4,6,5,8,5,7,5
54,48,45,42,36,30,28,24,16,18,9,7,6,9,2,5,8,5,5,5,6,8,6,4,6,4,6,5,8,5,7,2,2
48,45,42,36,30,28,24,16,18,9,7,6,9,2,5,2,5,5,5,6,8,6,4,6,4,6,5,8,5,7,2,1,5
45,42,36,30,28,24,16,18,9,7,6,9,2,5,2,5,5,5,6,8,6,4,6,4,6,5,8,5,7,2,1,1,0
42,36,30,28,24,16,18,9,7,6,9,2,5,2,5,0,5,6,8,6,4,6,4,6,5,8,5,7,2,1,1,0,3
36,30,28,24,16,18,9,7,6,9,2,5,2,5,0,3,6,8,6,4,6,4,6,5,8,5,7,2,1,1,0,1,0
30,28,24,16,18,9,7,6,9,2,5,2,5,0,3,0,8,6,4,6,4,6,5,8,5,7,2,1,1,0,1,0,0
28,24,16,18,9,7,6,9,2,5,2,5,0,3,0,0,6,4,6,4,6,5,8,5,7,2,1,1,0,1,0,0,0
24,16,18,9,7,6,9,2,5,2,5,0,3,0,0,0,4,6,4,6,5,8,5,7,2,1,1,0,1,0,0,0,1
16,18,9,7,6,9,2,5,2,5,0,3,0,0,0,1,6,4,6,5,8,5,7,2,1,1,0,1,0,0,0,4,0
18,9,7,6,9,2,5,2,5,0,3,0,0,0,1,0,4,6,5,8,5,7,2,1,1,0,1,0,0,0,4,0,0
9,7,6,9,2,5,2,5,0,3,0,0,0,1,0,0,6,5,8,5,7,2,1,1,0,1,0,0,0,4,0,0,3
7,6,9,2,5,2,5,0,3,0,0,0,1,0,0,3,5,8,5,7,2,1,1,0,1,0,0,0,4,0,0,4,0
6,9,2,5,2,5,0,3,0,0,0,1,0,0,3,0,8,5,7,2,1,1,0,1,0,0,0,4,0,0,4,0,1
9,2,5,2,5,0,3,0,0,0,1,0,0,3,0,1,5,7,2,1,1,0,1,0,0,0,4,0,0,4,0,4,0
2,5,2,5,0,3,0,0,0,1,0,0,3,0,1,0,7,2,1,1,0,1,0,0,0,4,0,0,4,0,4,0,0
5,2,5,0,3,0,0,0,1,0,0,3,0,1,0,0,2,1,1,0,1,0,0,0,4,0,0,4,0,4,0,0,0
2,5,0,3,0,0,0,1,0,0,3,0,1,0,0,0,1,1,0,1,0,0,0,4,0,0,4,0,4,0,0,0,0
5,0,3,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,4,0,0,4,0,4,0,0,0,0,0
0,3,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0
3,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0
0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0
0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0
0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1
0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0
0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0
3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3
0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0
0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0
0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,2
0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,4,7
0,0,0,0,0,0,2,0,0,0,1,3,0,0,2,7,0,0,0,0,0,0,4,0,0,0,3,3,0,0,4,4,4
0,0,0,0,0,2,0,0,0,1,3,0,0,2,7,4,0,0,0,0,0,4,0,0,0,3,3,0,0,4,4,1,6
