x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,y-count
2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3
0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0
0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0
0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,2
0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,2,0
0,0,0,0,0,0,2,0,0,0,1,3,0,0,2,0,7
0,0,0,0,0,2,0,0,0,1,3,0,0,2,0,7,4
0,0,0,0,2,0,0,0,1,3,0,0,2,0,7,4,9
0,0,0,2,0,0,0,1,3,0,0,2,0,7,4,9,6
0,0,2,0,0,0,1,3,0,0,2,0,7,4,9,6,6
0,2,0,0,0,1,3,0,0,2,0,7,4,9,6,6,3
2,0,0,0,1,3,0,0,2,0,7,4,9,6,6,3,19
0,0,0,1,3,0,0,2,0,7,4,9,6,6,3,19,16
0,0,1,3,0,0,2,0,7,4,9,6,6,3,19,16,21
0,1,3,0,0,2,0,7,4,9,6,6,3,19,16,21,26
1,3,0,0,2,0,7,4,9,6,6,3,19,16,21,26,32
3,0,0,2,0,7,4,9,6,6,3,19,16,21,26,32,36
0,0,2,0,7,4,9,6,6,3,19,16,21,26,32,36,41
0,2,0,7,4,9,6,6,3,19,16,21,26,32,36,41,41
2,0,7,4,9,6,6,3,19,16,21,26,32,36,41,41,53
0,7,4,9,6,6,3,19,16,21,26,32,36,41,41,53,54
7,4,9,6,6,3,19,16,21,26,32,36,41,41,53,54,53
4,9,6,6,3,19,16,21,26,32,36,41,41,53,54,53,66
9,6,6,3,19,16,21,26,32,36,41,41,53,54,53,66,67
6,6,3,19,16,21,26,32,36,41,41,53,54,53,66,67,70
6,3,19,16,21,26,32,36,41,41,53,54,53,66,67,70,77
3,19,16,21,26,32,36,41,41,53,54,53,66,67,70,77,82
19,16,21,26,32,36,41,41,53,54,53,66,67,70,77,82,83
16,21,26,32,36,41,41,53,54,53,66,67,70,77,82,83,92
21,26,32,36,41,41,53,54,53,66,67,70,77,82,83,92,82
26,32,36,41,41,53,54,53,66,67,70,77,82,83,92,82,82
32,36,41,41,53,54,53,66,67,70,77,82,83,92,82,82,73
36,41,41,53,54,53,66,67,70,77,82,83,92,82,82,73,76
41,41,53,54,53,66,67,70,77,82,83,92,82,82,73,76,69
41,53,54,53,66,67,70,77,82,83,92,82,82,73,76,69,61
53,54,53,66,67,70,77,82,83,92,82,82,73,76,69,61,58
54,53,66,67,70,77,82,83,92,82,82,73,76,69,61,58,54
53,66,67,70,77,82,83,92,82,82,73,76,69,61,58,54,48
66,67,70,77,82,83,92,82,82,73,76,69,61,58,54,48,45
67,70,77,82,83,92,82,82,73,76,69,61,58,54,48,45,42
70,77,82,83,92,82,82,73,76,69,61,58,54,48,45,42,36
77,82,83,92,82,82,73,76,69,61,58,54,48,45,42,36,30
82,83,92,82,82,73,76,69,61,58,54,48,45,42,36,30,28
83,92,82,82,73,76,69,61,58,54,48,45,42,36,30,28,24
92,82,82,73,76,69,61,58,54,48,45,42,36,30,28,24,16
82,82,73,76,69,61,58,54,48,45,42,36,30,28,24,16,18
82,73,76,69,61,58,54,48,45,42,36,30,28,24,16,18,9
73,76,69,61,58,54,48,45,42,36,30,28,24,16,18,9,7
76,69,61,58,54,48,45,42,36,30,28,24,16,18,9,7,6
69,61,58,54,48,45,42,36,30,28,24,16,18,9,7,6,9
61,58,54,48,45,42,36,30,28,24,16,18,9,7,6,9,2
58,54,48,45,42,36,30,28,24,16,18,9,7,6,9,2,5
54,48,45,42,36,30,28,24,16,18,9,7,6,9,2,5,2
48,45,42,36,30,28,24,16,18,9,7,6,9,2,5,2,5
45,42,36,30,28,24,16,18,9,7,6,9,2,5,2,5,0
42,36,30,28,24,16,18,9,7,6,9,2,5,2,5,0,3
36,30,28,24,16,18,9,7,6,9,2,5,2,5,0,3,0
30,28,24,16,18,9,7,6,9,2,5,2,5,0,3,0,0
28,24,16,18,9,7,6,9,2,5,2,5,0,3,0,0,0
24,16,18,9,7,6,9,2,5,2,5,0,3,0,0,0,1
16,18,9,7,6,9,2,5,2,5,0,3,0,0,0,1,0
18,9,7,6,9,2,5,2,5,0,3,0,0,0,1,0,0
9,7,6,9,2,5,2,5,0,3,0,0,0,1,0,0,3
7,6,9,2,5,2,5,0,3,0,0,0,1,0,0,3,0
6,9,2,5,2,5,0,3,0,0,0,1,0,0,3,0,1
9,2,5,2,5,0,3,0,0,0,1,0,0,3,0,1,0
2,5,2,5,0,3,0,0,0,1,0,0,3,0,1,0,0
5,2,5,0,3,0,0,0,1,0,0,3,0,1,0,0,0
2,5,0,3,0,0,0,1,0,0,3,0,1,0,0,0,0
5,0,3,0,0,0,1,0,0,3,0,1,0,0,0,0,0
0,3,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0
3,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3
0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0
0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0
0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,2
0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,2,7
0,0,0,0,0,0,2,0,0,0,1,3,0,0,2,7,4
0,0,0,0,0,2,0,0,0,1,3,0,0,2,7,4,6
0,0,0,0,2,0,0,0,1,3,0,0,2,7,4,6,6
0,0,0,2,0,0,0,1,3,0,0,2,7,4,6,6,16
0,0,2,0,0,0,1,3,0,0,2,7,4,6,6,16,15
0,2,0,0,0,1,3,0,0,2,7,4,6,6,16,15,23
2,0,0,0,1,3,0,0,2,7,4,6,6,16,15,23,24
0,0,0,1,3,0,0,2,7,4,6,6,16,15,23,24,36
0,0,1,3,0,0,2,7,4,6,6,16,15,23,24,36,33
0,1,3,0,0,2,7,4,6,6,16,15,23,24,36,33,40
1,3,0,0,2,7,4,6,6,16,15,23,24,36,33,40,41
3,0,0,2,7,4,6,6,16,15,23,24,36,33,40,41,51
0,0,2,7,4,6,6,16,15,23,24,36,33,40,41,51,54
0,2,7,4,6,6,16,15,23,24,36,33,40,41,51,54,61
2,7,4,6,6,16,15,23,24,36,33,40,41,51,54,61,58
7,4,6,6,16,15,23,24,36,33,40,41,51,54,61,58,69
4,6,6,16,15,23,24,36,33,40,41,51,54,61,58,69,68
6,6,16,15,23,24,36,33,40,41,51,54,61,58,69,68,77
6,16,15,23,24,36,33,40,41,51,54,61,58,69,68,77,82
16,15,23,24,36,33,40,41,51,54,61,58,69,68,77,82,86
15,23,24,36,33,40,41,51,54,61,58,69,68,77,82,86,86
23,24,36,33,40,41,51,54,61,58,69,68,77,82,86,86,92
24,36,33,40,41,51,54,61,58,69,68,77,82,86,86,92,75
36,33,40,41,51,54,61,58,69,68,77,82,86,86,92,75,80
33,40,41,51,54,61,58,69,68,77,82,86,86,92,75,80,72
40,41,51,54,61,58,69,68,77,82,86,86,92,75,80,72,65
41,51,54,61,58,69,68,77,82,86,86,92,75,80,72,65,65
51,54,61,58,69,68,77,82,86,86,92,75,80,72,65,65,60
54,61,58,69,68,77,82,86,86,92,75,80,72,65,65,60,54
61,58,69,68,77,82,86,86,92,75,80,72,65,65,60,54,51
58,69,68,77,82,86,86,92,75,80,72,65,65,60,54,51,42
69,68,77,82,86,86,92,75,80,72,65,65,60,54,51,42,43
68,77,82,86,86,92,75,80,72,65,65,60,54,51,42,43,32
77,82,86,86,92,75,80,72,65,65,60,54,51,42,43,32,36
82,86,86,92,75,80,72,65,65,60,54,51,42,43,32,36,24
86,86,92,75,80,72,65,65,60,54,51,42,43,32,36,24,25
86,92,75,80,72,65,65,60,54,51,42,43,32,36,24,25,15
92,75,80,72,65,65,60,54,51,42,43,32,36,24,25,15,13
75,80,72,65,65,60,54,51,42,43,32,36,24,25,15,13,10
80,72,65,65,60,54,51,42,43,32,36,24,25,15,13,10,5
72,65,65,60,54,51,42,43,32,36,24,25,15,13,10,5,6
65,65,60,54,51,42,43,32,36,24,25,15,13,10,5,6,7
65,60,54,51,42,43,32,36,24,25,15,13,10,5,6,7,3
60,54,51,42,43,32,36,24,25,15,13,10,5,6,7,3,5
54,51,42,43,32,36,24,25,15,13,10,5,6,7,3,5,2
51,42,43,32,36,24,25,15,13,10,5,6,7,3,5,2,5
42,43,32,36,24,25,15,13,10,5,6,7,3,5,2,5,2
43,32,36,24,25,15,13,10,5,6,7,3,5,2,5,2,5
32,36,24,25,15,13,10,5,6,7,3,5,2,5,2,5,0
36,24,25,15,13,10,5,6,7,3,5,2,5,2,5,0,3
24,25,15,13,10,5,6,7,3,5,2,5,2,5,0,3,0
25,15,13,10,5,6,7,3,5,2,5,2,5,0,3,0,0
15,13,10,5,6,7,3,5,2,5,2,5,0,3,0,0,0
13,10,5,6,7,3,5,2,5,2,5,0,3,0,0,0,0
10,5,6,7,3,5,2,5,2,5,0,3,0,0,0,0,1
5,6,7,3,5,2,5,2,5,0,3,0,0,0,0,1,1
6,7,3,5,2,5,2,5,0,3,0,0,0,0,1,1,1
7,3,5,2,5,2,5,0,3,0,0,0,0,1,1,1,1
3,5,2,5,2,5,0,3,0,0,0,0,1,1,1,1,1
5,2,5,2,5,0,3,0,0,0,0,1,1,1,1,1,1
2,5,2,5,0,3,0,0,0,0,1,1,1,1,1,1,0
5,2,5,0,3,0,0,0,0,1,1,1,1,1,1,0,0
2,5,0,3,0,0,0,0,1,1,1,1,1,1,0,0,0
5,0,3,0,0,0,0,1,1,1,1,1,1,0,0,0,0
0,3,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
3,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1
0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0
0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1
0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,7
0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,7,5
0,0,0,0,0,1,1,0,0,1,2,1,0,1,7,5,6
0,0,0,0,1,1,0,0,1,2,1,0,1,7,5,6,7
0,0,0,1,1,0,0,1,2,1,0,1,7,5,6,7,15
0,0,1,1,0,0,1,2,1,0,1,7,5,6,7,15,14
0,1,1,0,0,1,2,1,0,1,7,5,6,7,15,14,24
1,1,0,0,1,2,1,0,1,7,5,6,7,15,14,24,24
1,0,0,1,2,1,0,1,7,5,6,7,15,14,24,24,32
0,0,1,2,1,0,1,7,5,6,7,15,14,24,24,32,33
0,1,2,1,0,1,7,5,6,7,15,14,24,24,32,33,41
1,2,1,0,1,7,5,6,7,15,14,24,24,32,33,41,48
2,1,0,1,7,5,6,7,15,14,24,24,32,33,41,48,51
1,0,1,7,5,6,7,15,14,24,24,32,33,41,48,51,49
0,1,7,5,6,7,15,14,24,24,32,33,41,48,51,49,54
1,7,5,6,7,15,14,24,24,32,33,41,48,51,49,54,57
7,5,6,7,15,14,24,24,32,33,41,48,51,49,54,57,61
5,6,7,15,14,24,24,32,33,41,48,51,49,54,57,61,61
6,7,15,14,24,24,32,33,41,48,51,49,54,57,61,61,71
7,15,14,24,24,32,33,41,48,51,49,54,57,61,61,71,69
15,14,24,24,32,33,41,48,51,49,54,57,61,61,71,69,82
14,24,24,32,33,41,48,51,49,54,57,61,61,71,69,82,80
24,24,32,33,41,48,51,49,54,57,61,61,71,69,82,80,73
24,32,33,41,48,51,49,54,57,61,61,71,69,82,80,73,75
32,33,41,48,51,49,54,57,61,61,71,69,82,80,73,75,72
33,41,48,51,49,54,57,61,61,71,69,82,80,73,75,72,65
41,48,51,49,54,57,61,61,71,69,82,80,73,75,72,65,54
48,51,49,54,57,61,61,71,69,82,80,73,75,72,65,54,46
51,49,54,57,61,61,71,69,82,80,73,75,72,65,54,46,57
49,54,57,61,61,71,69,82,80,73,75,72,65,54,46,57,50
54,57,61,61,71,69,82,80,73,75,72,65,54,46,57,50,47
57,61,61,71,69,82,80,73,75,72,65,54,46,57,50,47,38
61,61,71,69,82,80,73,75,72,65,54,46,57,50,47,38,43
61,71,69,82,80,73,75,72,65,54,46,57,50,47,38,43,34
71,69,82,80,73,75,72,65,54,46,57,50,47,38,43,34,34
69,82,80,73,75,72,65,54,46,57,50,47,38,43,34,34,24
82,80,73,75,72,65,54,46,57,50,47,38,43,34,34,24,22
80,73,75,72,65,54,46,57,50,47,38,43,34,34,24,22,18
73,75,72,65,54,46,57,50,47,38,43,34,34,24,22,18,15
75,72,65,54,46,57,50,47,38,43,34,34,24,22,18,15,9
72,65,54,46,57,50,47,38,43,34,34,24,22,18,15,9,6
65,54,46,57,50,47,38,43,34,34,24,22,18,15,9,6,5
54,46,57,50,47,38,43,34,34,24,22,18,15,9,6,5,8
46,57,50,47,38,43,34,34,24,22,18,15,9,6,5,8,2
57,50,47,38,43,34,34,24,22,18,15,9,6,5,8,2,5
50,47,38,43,34,34,24,22,18,15,9,6,5,8,2,5,2
47,38,43,34,34,24,22,18,15,9,6,5,8,2,5,2,5
38,43,34,34,24,22,18,15,9,6,5,8,2,5,2,5,1
43,34,34,24,22,18,15,9,6,5,8,2,5,2,5,1,6
34,34,24,22,18,15,9,6,5,8,2,5,2,5,1,6,0
34,24,22,18,15,9,6,5,8,2,5,2,5,1,6,0,2
24,22,18,15,9,6,5,8,2,5,2,5,1,6,0,2,1
22,18,15,9,6,5,8,2,5,2,5,1,6,0,2,1,0
18,15,9,6,5,8,2,5,2,5,1,6,0,2,1,0,0
15,9,6,5,8,2,5,2,5,1,6,0,2,1,0,0,1
9,6,5,8,2,5,2,5,1,6,0,2,1,0,0,1,0
6,5,8,2,5,2,5,1,6,0,2,1,0,0,1,0,0
5,8,2,5,2,5,1,6,0,2,1,0,0,1,0,0,2
8,2,5,2,5,1,6,0,2,1,0,0,1,0,0,2,2
2,5,2,5,1,6,0,2,1,0,0,1,0,0,2,2,0
5,2,5,1,6,0,2,1,0,0,1,0,0,2,2,0,1
2,5,1,6,0,2,1,0,0,1,0,0,2,2,0,1,0
5,1,6,0,2,1,0,0,1,0,0,2,2,0,1,0,0
1,6,0,2,1,0,0,1,0,0,2,2,0,1,0,0,0
6,0,2,1,0,0,1,0,0,2,2,0,1,0,0,0,0
0,2,1,0,0,1,0,0,2,2,0,1,0,0,0,0,0
2,1,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0
1,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0
0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0
0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0
1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0
0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0
0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0
0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,2
0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,2,7
0,0,0,0,0,0,1,1,0,0,1,3,0,0,2,7,4
0,0,0,0,0,1,1,0,0,1,3,0,0,2,7,4,6
0,0,0,0,1,1,0,0,1,3,0,0,2,7,4,6,7
0,0,0,1,1,0,0,1,3,0,0,2,7,4,6,7,7
0,0,1,1,0,0,1,3,0,0,2,7,4,6,7,7,5
0,1,1,0,0,1,3,0,0,2,7,4,6,7,7,5,5
1,1,0,0,1,3,0,0,2,7,4,6,7,7,5,5,10
1,0,0,1,3,0,0,2,7,4,6,7,7,5,5,10,17
0,0,1,3,0,0,2,7,4,6,7,7,5,5,10,17,18
0,1,3,0,0,2,7,4,6,7,7,5,5,10,17,18,28
1,3,0,0,2,7,4,6,7,7,5,5,10,17,18,28,32
3,0,0,2,7,4,6,7,7,5,5,10,17,18,28,32,38
